year,cipcode,major_number,total,instnm,cip_code,humanities_discipline,classification,total_students,total_degrees
2005,40.0801,1,37,Harvard University,"Physics, General",NA,Natural Sciences,1807,1910
2005,40.0801,2,3,Harvard University,"Physics, General",NA,Natural Sciences,1807,1910
2005,40.0802,1,14,Harvard University,Atomic/Molecular Physics,NA,Natural Sciences,1807,1910
2005,42.0101,1,115,Harvard University,"Psychology, General",NA,Social & Behavioral Sciences,1807,1910
2005,42.0101,2,3,Harvard University,"Psychology, General",NA,Social & Behavioral Sciences,1807,1910
2005,45.0101,1,95,Harvard University,"Social Sciences, General",NA,Social & Behavioral Sciences,1807,1910
2005,45.0201,1,50,Harvard University,"Anthropology, General",NA,Social & Behavioral Sciences,1807,1910
2005,45.0201,2,3,Harvard University,"Anthropology, General",NA,Social & Behavioral Sciences,1807,1910
2005,45.0601,1,271,Harvard University,"Economics, General",NA,Social & Behavioral Sciences,1807,1910
2005,45.0601,2,12,Harvard University,"Economics, General",NA,Social & Behavioral Sciences,1807,1910
2005,45.1001,1,193,Harvard University,"Political Science and Government, General",NA,Social & Behavioral Sciences,1807,1910
2005,45.1001,2,4,Harvard University,"Political Science and Government, General",NA,Social & Behavioral Sciences,1807,1910
2005,45.1101,1,29,Harvard University,"Sociology, General",NA,Social & Behavioral Sciences,1807,1910
2005,45.1101,2,2,Harvard University,"Sociology, General",NA,Social & Behavioral Sciences,1807,1910
2005,50.0101,1,30,Harvard University,"Visual and Performing Arts, General",NA,Fine & Performing Arts,1807,1910
2005,50.0101,2,2,Harvard University,"Visual and Performing Arts, General",NA,Fine & Performing Arts,1807,1910
2005,50.0703,1,25,Harvard University,"Art History, Criticism and Conservation",Study of the Arts,Humanities,1807,1910
2005,50.0703,2,2,Harvard University,"Art History, Criticism and Conservation",Study of the Arts,Humanities,1807,1910
2005,50.0901,1,13,Harvard University,"Music, General",NA,Fine & Performing Arts,1807,1910
2005,50.0901,2,4,Harvard University,"Music, General",NA,Fine & Performing Arts,1807,1910
2005,54.0101,1,93,Harvard University,"History, General",History,Humanities,1807,1910
2005,54.0101,2,2,Harvard University,"History, General",History,Humanities,1807,1910
2005,54.0104,1,35,Harvard University,History and Philosophy of Science and Technology,History,Humanities,1807,1910
2005,54.0104,2,3,Harvard University,History and Philosophy of Science and Technology,History,Humanities,1807,1910
2005,54.0199,1,60,Harvard University,"History, Other",History,Humanities,1807,1910
2005,04.0201,1,28,Massachusetts Institute of Technology,Architecture,NA,Other/Unknown,1220,1220
2005,04.0301,1,6,Massachusetts Institute of Technology,"City/Urban, Community, and Regional Planning",NA,Other/Unknown,1220,1220
2005,09.0102,1,7,Massachusetts Institute of Technology,Mass Communication/Media Studies,Communication,Humanities,1220,1220
2005,11.0701,1,208,Massachusetts Institute of Technology,Computer Science,NA,Engineering,1220,1220
